PID,fgs_label_s
islandora:10372,smith_ssc_324_b1014_f008_025_p001
islandora:2733,smith_ssc_324_b1004_f007_020_p001
islandora:30117,smith_ssc_324_b1041_f016_019_p001
islandora:14939,smith_ssc_324_b1019_f003_018_p001
islandora:5244,smith_ssc_324_b1007_f006_010_p002
islandora:15234,smith_ssc_324_b1019_f012_013_p002
islandora:16456,smith_ssc_324_b1021_f009_058_p001
islandora:6805,smith_ssc_324_b1008_f006_015_p001
islandora:586,smith_ssc_324_b1001_f004_009_p001
islandora:10761,smith_ssc_324_b1015_f003_020_p001
islandora:29371,smith_ssc_324_b1040_f014_051_p002
islandora:15500,smith_ssc_324_b1020_f004_032_p001
islandora:3011,smith_ssc_324_digital_object_171
islandora:2711,smith_ssc_324_b1004_f007_009_p001
islandora:4888,smith_ssc_324_b1006_f012_030_p002
islandora:27213,smith_ssc_324_b1037_f012_003_p001
islandora:23660,smith_ssc_324_b1032_f012_016_p002
islandora:12803,smith_ssc_324_b1017_f011_013_p001
islandora:8928,smith_ssc_324_b1012_f008_015_p001
islandora:2794,smith_ssc_324_b1004_f008_001_p001
islandora:27233,smith_ssc_324_b1037_f012_013_p001
islandora:1951,smith_ssc_324_b1003_f002_007_p002
islandora:24682,smith_ssc_324_b1035_f005_009_p001
islandora:12805,smith_ssc_324_b1017_f011_014_p001
islandora:12216,smith_ssc_324_b1016_f009_020_p001
islandora:17661,smith_ssc_324_b1023_f011_022_p002
islandora:7607,smith_ssc_324_b1010_f004_004_p001
islandora:22002,smith_ssc_324_b1030_f003_011_p001
islandora:12177,smith_ssc_324_digital_object_289
islandora:3072,smith_ssc_324_b1005_f001_032_p001
islandora:22005,smith_ssc_324_b1030_f003_013_p001
islandora:27405,smith_ssc_324_b1037_f020_009_p002
islandora:3084,smith_ssc_324_b1005_f001_038_p001
islandora:16409,smith_ssc_324_b1021_f009_034_p002
islandora:24675,smith_ssc_324_b1035_f005_005_p002
islandora:11314,smith_ssc_324_b1016_f006_007_p002
islandora:12197,smith_ssc_324_b1016_f009_010_p002
islandora:2445,smith_ssc_324_b1004_f001_008_p002
islandora:6396,smith_ssc_324_b1007_f009_008_p001
islandora:21041,smith_ssc_324_b1029_f010_005_p002
islandora:8630,smith_ssc_324_b1012_f004_015_p001
islandora:23404,smith_ssc_324_b1032_f006_005_p002
islandora:7463,smith_ssc_324_b1009_f011_011_p002
islandora:27836,smith_ssc_324_b1038_f023_006_p002
islandora:29823,smith_ssc_324_b1041_f005_011_p001
islandora:23603,smith_ssc_324_b1032_f011_008_p001
islandora:16438,smith_ssc_324_b1021_f009_049_p001
islandora:12788,smith_ssc_324_b1017_f011_005_p002
islandora:22988,smith_ssc_324_b1031_f021_011_p001
islandora:2014,smith_ssc_324_r142_m001_009
islandora:2015,smith_ssc_324_r142_m001_010
islandora:8842,smith_ssc_324_b1012_f007_039_p001
islandora:7615,smith_ssc_324_b1010_f004_008_p001
islandora:25304,smith_ssc_324_b1036_f024_010_p002
islandora:3052,smith_ssc_324_b1005_f001_022_p001
islandora:28388,smith_ssc_324_b1039_f014_024_p001
islandora:29703,smith_ssc_324_b1041_f002_005_p002
islandora:682,smith_ssc_324_b1001_f005_046_p001
