ERROR:root:No matching object found .DS_Store
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0001 smith:358139
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0002 smith:358221
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0003 smith:358220
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0004 smith:358219
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0005 smith:358218
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0006 smith:358217
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0007 smith:358216
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0008 smith:358215
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0009 smith:358214
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0010 smith:358213
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0011 smith:358212
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0012 smith:358211
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0013 smith:358210
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0014 smith:358209
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0015 smith:358208
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0016 smith:358207
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0017 smith:358206
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0018 smith:358205
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0019 smith:358204
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0020 smith:358203
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0021 smith:358202
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0022 smith:358201
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0023 smith:358200
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0024 smith:358199
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0025 smith:358198
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0026 smith:358197
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0027 smith:358196
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0028 smith:358195
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0029 smith:358194
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0030 smith:358193
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0031 smith:358192
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0032 smith:358191
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0033 smith:358190
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0034 smith:358189
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0035 smith:358188
INFO:root:One matching object found smith_ssc_324_wp_v016_n009_p0036 smith:358187
